,Total Return,CAGR,Annualized Volatility,Sharpe Ratio,Max Drawdown,Calmar Ratio,Number of Trades,Win Rate,Average Trade Return,Average Winner,Average Loser,Profit Factor
Buy & Hold,1.9282290061080976,0.09943873246075596,0.16224815604164577,0.6661025012532782,-0.3843985245274212,0.2586865612530791,,,,,,
MA Crossover,1.8176151737130923,0.09570953796952231,0.10682618502202136,0.9092385158955084,-0.20166543553360006,0.47459564756983785,26.0,0.5384615384615384,0.04902507577440877,0.12657381013700608,-0.04144844764862141,3.5627255913588347
RSI Mean Reversion,0.005521014010162473,0.0004859264720495915,0.0930302428816579,0.05253546083622038,-0.3415965356825912,0.0014225158082431801,15.0,0.7333333333333333,0.0017779419530475978,0.02191199048719109,-0.053590691515847,1.124411201560199
Momentum,1.44985858889269,0.08227087688840662,0.09948677422562144,0.8446266419423225,-0.17677902541287904,0.46538822519389716,59.0,0.3898305084745763,0.01740480924927593,0.06486871608360575,-0.012919353450434799,3.2078928795704473
